Country,LifeExpectancy_Both,LifeExpectancy_Female,LifeExpectancy_Male,UrbanPopulation_Percentage,UrbanPopulation_Absolute,PopulationDensity,GDP_per_capita_PPP,TotalGDP,LogGDPperCapita,Population,LogPopulation
Solomon Islands,70.8,72.3,72.3,22.8,190885.0,30.0,2518.4216,1920412317.3936,3.401128435552136,762546.0,5.8822660472891055
Somalia,59.1,61.7,61.7,46.6,9168559.0,31.0,1392.4642,24049786689.3812,3.143784038357569,17271386.0,7.237327190375753
South Africa,66.5,70.0,70.0,66.6,43112579.0,53.0,13711.294,843279585933.582,4.137078443158624,61502553.0,7.788893143918498
South Korea,84.5,87.4,87.4,82.4,42587468.0,531.0,48571.434,2518349098605.372,4.686380925566791,51848358.0,7.714735007150691
Spain,84.0,86.6,86.6,79.3,37995950.0,96.0,44091.11,2104716031427.1,4.644351032389643,47735610.0,7.678842476664015
Sri Lanka,77.9,80.9,80.9,18.1,4193316.0,370.0,14316.135,324980931560.01,4.155825785099262,22700326.0,7.356032094152791
Sudan,66.7,70.0,70.0,35.3,18220482.0,29.0,3248.9756,156168107292.22562,3.5117464497798396,48066876.0,7.681845897039204
Suriname,73.9,77.1,77.1,62.4,399428.0,4.0,18458.234,11404659833.942,4.266190147353832,617863.0,5.790892188778336
Sweden,83.6,85.3,85.3,87.4,9309134.0,26.0,63124.598,657510547112.85,4.800198625393052,10416075.0,7.0177040983332635
Switzerland,84.2,86.1,86.1,74.4,6668094.0,227.0,81603.21,710516946183.3301,4.911707242796352,8706973.0,6.939867197730534
Syria,73.0,75.4,75.4,53.6,13735765.0,140.0,4592.8384,99337541850.37439,3.662081164942647,21628791.0,7.335032244048281
Tajikistan,72.1,74.3,74.3,27.7,2987515.0,77.0,3985.9126,39727064743.7368,3.600527771596314,9966868.0,6.99855870655519
Tanzania,67.4,70.2,70.2,40.0,28244987.0,80.0,3493.083,219471679865.295,3.5432089051377154,62830365.0,7.798169582667164
Thailand,76.8,81.2,81.2,53.5,38343775.0,140.0,20245.242,1452136404789.9058,4.306322972442366,71727293.0,7.855684440798541
Togo,63.1,63.4,63.4,44.2,4295574.0,179.0,2577.202,22881280759.084003,3.411148459702334,8878342.0,6.948331870341528
Tonga,73.2,76.7,76.7,26.0,26950.0,144.0,7034.925,741832841.25,3.8472594717409465,105450.0,5.023046584075505
Trinidad And Tobago,73.7,77.0,77.0,49.1,741616.0,295.0,30826.209,45858887254.730995,4.488920118576189,1487659.0,6.172503393985348
Tunisia,76.9,79.5,79.5,71.7,8853818.0,79.0,12375.343,149105223535.539,4.092557244853519,12048573.0,7.080935613307213
Turkey,77.8,80.8,80.8,76.9,67446349.0,114.0,31637.53,2742537442911.1797,4.500202569982298,86686206.0,7.937949995576651
Turkmenistan,70.3,73.2,73.2,46.5,3540511.0,16.0,16434.14,116550657933.76,4.21574698234361,7091984.0,6.850767747131989
Uganda,68.7,71.6,71.6,30.0,15430672.0,257.0,2684.9204,123267074403.4744,3.4289314146712537,45910886.0,7.661915673972688
Ukraine,74.9,79.5,79.5,76.8,29923619.0,67.0,17846.408,790570728811.1279,4.251550817492471,44298591.0,7.646389912889965
United Arab Emirates,83.2,84.4,84.4,81.1,9207088.0,136.0,67401.125,659789680026.125,4.828667145455419,9789001.0,6.990738372873096
United Kingdom,81.6,83.4,83.4,84.5,58798650.0,287.0,52872.195,3577795292534.055,4.7232273406037075,67668749.0,7.830388147705297
United States,79.6,82.1,82.1,82.8,287421363.0,38.0,71318.305,24259733903880.56,4.853201012883933,340161392.0,8.531685020055932
Uruguay,78.5,82.2,82.2,0.0,0.0,19.0,29441.477,100002186761.711,4.468959593602265,3396643.0,6.531049903279341
Uzbekistan,72.7,75.7,75.7,48.1,17835913.0,87.0,9247.644,316673158441.752,3.966031102671236,34243658.0,7.534580150992261
Vanuatu,71.8,74.3,74.3,25.4,85244.0,27.0,3135.8367,959051752.9812,3.4963534385355306,305836.0,5.48548860495183
Vietnam,74.9,79.5,79.5,41.4,42039428.0,328.0,12048.902,1192058770010.708,4.080947472050467,98935054.0,7.995350195150873
Zambia,66.7,69.1,69.1,46.8,10256668.0,29.0,3503.035,68671942792.46,3.5444444765214977,19603556.0,7.292334857637082
Zimbabwe,63.3,65.6,65.6,37.9,6429761.0,44.0,3184.7854,50310580453.39101,3.5030801736460084,15797165.0,7.198579154338664
